,MAE,MSE,R2 Score
Linear Regression,0.04795673362091199,0.004617003377285012,0.8212082591486991
Random Forest,0.049740625000000024,0.0049219776562500085,0.8093982434750511
SVM,0.06648546127846935,0.006466271022052367,0.7495960564947849
